id,title,description,availability,condition,price,link,image_link,brand
40339,TRAJE KLEENGUARD A70 QUIMICOS BAJO PRESION AMARILLO TALLA XL 30193251,TRAJE KLEENGUARD A70 QUIMICOS BAJO PRESION AMARILLO TALLA XL 30193251,in stock,new,42704 COP,https://estrategias-ltda.com/p-40339-traje-kleenguard-a70-quimicos-bajo-presion-amarillo-talla-xl-30193251,https://estrategia-web.s3.amazonaws.com/products/40339/traje A70.png-2020-12-16-08:23:16.png,Kleenguard
40342,TAPA Y ARO CONTENEDOR ELITE 121 Lt VERDE MCDO ORDINARIOS NO RECIC 4-1008352,TAPA Y ARO CONTENEDOR ELITE 121 Lt VERDE MCDO ORDINARIOS NO RECIC 4-1008352,in stock,new,37671 COP,https://estrategias-ltda.com/p-40342-tapa-y-aro-contenedor-elite-121-lt-verde-mcdo-ordinarios-no-recic-4-1008352,https://estrategia-web.s3.amazonaws.com/products/40342/20103031.jpg-2021-01-05-13:15:10.jpeg,estra
40343,TAPA Y ARO CONTENEDOR ELITE 121 Lt AZUL MCDO PLASTICO 4-1019554,TAPA Y ARO CONTENEDOR ELITE 121 Lt AZUL MCDO PLASTICO 4-1019554,in stock,new,37671 COP,https://estrategias-ltda.com/p-40343-tapa-y-aro-contenedor-elite-121-lt-azul-mcdo-plastico-4-1019554,https://estrategia-web.s3.amazonaws.com/products/40343/20103033.jpg-2021-01-05-13:09:19.jpeg,estra
40344,CINTA ENMASCARAR 101+ MULTIPROPOSITO 18mm X 40 Mts LT000090119,CINTA ENMASCARAR 101+ MULTIPROPOSITO 18mm X 40 Mts LT000090119,in stock,new,2228 COP,https://estrategias-ltda.com/p-40344-cinta-enmascarar-101+-multiproposito-18mm-x-40-mts-lt000090119,https://estrategia-web.s3.amazonaws.com/products/40344/20502100.jpg-2020-12-16-11:25:30.jpeg,3M
40345,CINTA ENMASCARAR 101+ MULTIPROPOSITO 24mm X 40 Mts LT000090135,CINTA ENMASCARAR 101+ MULTIPROPOSITO 24mm X 40 Mts LT000090135,in stock,new,2976 COP,https://estrategias-ltda.com/p-40345-cinta-enmascarar-101+-multiproposito-24mm-x-40-mts-lt000090135,https://estrategia-web.s3.amazonaws.com/products/40345/20502101.jpg-2020-12-16-11:29:13.jpeg,3M
40346,CINTA ENMASCARAR 101+ MULTIPROPOSITO 48mm X 40 Mts LT000090127,CINTA ENMASCARAR 101+ MULTIPROPOSITO 48mm X 40 Mts LT000090127,out of stock,new,5940 COP,https://estrategias-ltda.com/p-40346-cinta-enmascarar-101+-multiproposito-48mm-x-40-mts-lt000090127,https://estrategia-web.s3.amazonaws.com/products/40346/20502101.jpg-2020-12-16-11:31:21.jpeg,3M
40347,CINTA ENMASCARAR 101+ MULTIPROPOSITO 12mm X 40 Mts LT000090143,CINTA ENMASCARAR 101+ MULTIPROPOSITO 12mm X 40 Mts LT000090143,in stock,new,1628 COP,https://estrategias-ltda.com/p-40347-cinta-enmascarar-101+-multiproposito-12mm-x-40-mts-lt000090143,https://estrategia-web.s3.amazonaws.com/products/40347/20502101.jpg-2020-12-16-11:34:55.jpeg,3M
40351,BOLSA BASURA ROJA CAL 1.5 BD (11`x13`) 28x32 Cm,BOLSA BASURA ROJA CAL 1.5 BD (11`x13`) 28x32 Cm,out of stock,new,54 COP,https://estrategias-ltda.com/p-40351-bolsa-basura-roja-cal-1.5-bd-(11x13)-28x32-cm,https://estrategia-web.s3.amazonaws.com/products/40351/bolsas-plasticas-roja-domicilios-1200x900.jpg-2021-01-05-14:20:32.jpeg,Genérica
40352,BOLSA BASURA VERDE CAL 1.5 BD (7`x8`) 18x20 Cm,BOLSA BASURA VERDE CAL 1.5 BD (7`x8`) 18x20 Cm,out of stock,new,21.54 COP,https://estrategias-ltda.com/p-40352-bolsa-basura-verde-cal-1.5-bd-(7x8)-18x20-cm,https://estrategia-web.s3.amazonaws.com/products/40352/Bolsas-para-basura-color-verde-domicilios-1200x1200.jpg-2021-01-05-14:21:24.jpeg,Genérica
40369,BOLSA BASURA VERDE CAL 1.0 (18`x24`) 46x60 Cm PAQ x10,BOLSA BASURA VERDE CAL 1.0 (18`x24`) 46x60 Cm PAQ x10,in stock,new,1150 COP,https://estrategias-ltda.com/p-40369-bolsa-basura-verde-cal-1.0-(18x24)-46x60-cm-paq-x10,https://estrategia-web.s3.amazonaws.com/products/40369/imagen-bolsa_plastica_verde_60_cm_x_60_cm_x_10_und-1653349-800-600-1-75.jpg-2021-01-05-14:30:44.jpeg,Genérica
40370,BOLSA BASURA VERDE CAL 1.3 (26`x35`) 65x80 Cm PAQ x10,BOLSA BASURA VERDE CAL 1.3 (26`x35`) 65x80 Cm PAQ x10,in stock,new,3700 COP,https://estrategias-ltda.com/p-40370-bolsa-basura-verde-cal-1.3-(26x35)-65x80-cm-paq-x10,https://estrategia-web.s3.amazonaws.com/products/40370/Producto_617962129_2953_1596572464.jpg-2021-01-05-14:31:16.jpeg,Genérica
40371,BOLSA BASURA ROJA CAL 1.8 (40`x47`) 100x120 Cm PAQ x10,BOLSA BASURA ROJA CAL 1.8 (40`x47`) 100x120 Cm PAQ x10,in stock,new,8900 COP,https://estrategias-ltda.com/p-40371-bolsa-basura-roja-cal-1.8-(40x47)-100x120-cm-paq-x10,https://estrategia-web.s3.amazonaws.com/products/40371/SKU-245-BOLSAS-DE-BASURA-ROJA-240-LITROS-X-100-PCS-PULGADAS-40-X-60-X-2-MICRAS.jpg-2021-01-05-14:32:35.jpeg,Genérica
40372,BOLSA BASURA AZUL CAL 1.5 (40`x47`) 100x120 Cm PAQ x10,BOLSA BASURA AZUL CAL 1.5 (40`x47`) 100x120 Cm PAQ x10,in stock,new,7400 COP,https://estrategias-ltda.com/p-40372-bolsa-basura-azul-cal-1.5-(40x47)-100x120-cm-paq-x10,https://estrategia-web.s3.amazonaws.com/products/40372/bolsas-basura-comunidad-azul.jpg-2021-01-05-14:33:25.jpeg,Genérica
40373,BOLSA BASURA GRIS CAL 1.8 (40`x47`) 100x120 Cm PAQ x10,BOLSA BASURA GRIS CAL 1.8 (40`x47`) 100x120 Cm PAQ x10,out of stock,new,7600 COP,https://estrategias-ltda.com/p-40373-bolsa-basura-gris-cal-1.8-(40x47)-100x120-cm-paq-x10,https://estrategia-web.s3.amazonaws.com/products/40373/Bolsas-para-basura-gris-barranquilla-1200x1200.jpg-2021-01-05-14:35:12.jpeg,Genérica
40374,BOLSA BASURA AMARILLA CAL 1.8 (40`x47`) 100x120 Cm PAQ x10,BOLSA BASURA AMARILLA CAL 1.8 (40`x47`) 100x120 Cm PAQ x10,in stock,new,8900 COP,https://estrategias-ltda.com/p-40374-bolsa-basura-amarilla-cal-1.8-(40x47)-100x120-cm-paq-x10,https://estrategia-web.s3.amazonaws.com/products/40374/15447.jpg-2021-01-05-14:36:58.jpeg,Genérica
40375,BOLSA BASURA GRIS CAL 1.5 (28`x40`) 70x100 Cm PAQ x10,BOLSA BASURA GRIS CAL 1.5 (28`x40`) 70x100 Cm PAQ x10,in stock,new,3787 COP,https://estrategias-ltda.com/p-40375-bolsa-basura-gris-cal-1.5-(28x40)-70x100-cm-paq-x10,https://estrategia-web.s3.amazonaws.com/products/40375/bolsa-basura-gris1-e3bbcb7075bb0b6b5415123602422404-480-0.jpg-2021-01-05-14:38:05.jpeg,Genérica
40376,BOLSA BASURA GRIS CAL 1.0 (16`x20`) 40x50 Cm PAQ x10,BOLSA BASURA GRIS CAL 1.0 (16`x20`) 40x50 Cm PAQ x10,in stock,new,747 COP,https://estrategias-ltda.com/p-40376-bolsa-basura-gris-cal-1.0-(16x20)-40x50-cm-paq-x10,https://estrategia-web.s3.amazonaws.com/products/40376/bolsa-gris.png-2021-01-05-14:38:30.png,Genérica
40377,BOLSA BASURA NEGRA CAL 2.0 (24`x33`) 60x85 Cm PAQ x10,BOLSA BASURA NEGRA CAL 2.0 (24`x33`) 60x85 Cm PAQ x10,in stock,new,3507 COP,https://estrategias-ltda.com/p-40377-bolsa-basura-negra-cal-2.0-(24x33)-60x85-cm-paq-x10,https://estrategia-web.s3.amazonaws.com/products/40377/5c88c3643c2534a7cf72b8b5211ca567-product.jpg-2021-01-05-14:40:00.jpeg,Genérica
40378,BOLSA BASURA NEGRA CAL 1.5 (18`x24`) 45x60 Cm PAQ x10,BOLSA BASURA NEGRA CAL 1.5 (18`x24`) 45x60 Cm PAQ x10,in stock,new,1500 COP,https://estrategias-ltda.com/p-40378-bolsa-basura-negra-cal-1.5-(18x24)-45x60-cm-paq-x10,https://estrategia-web.s3.amazonaws.com/products/40378/download.jpg-2021-01-05-14:56:22.jpeg,Genérica
40379,BOLSA BASURA AZUL CAL 1.5 (28`x40`) 70x100 Cm PAQ x10,BOLSA BASURA AZUL CAL 1.5 (28`x40`) 70x100 Cm PAQ x10,in stock,new,4400 COP,https://estrategias-ltda.com/p-40379-bolsa-basura-azul-cal-1.5-(28x40)-70x100-cm-paq-x10,https://estrategia-web.s3.amazonaws.com/products/40379/bolsas-de-basura-comunidad-extraresistente-azul.jpg-2021-01-05-14:57:11.jpeg,Genérica
40380,BOLSA BASURA AMARILLA CAL 1.5 (28`X40`) 70x100 Cm PAQx10,BOLSA BASURA AMARILLA CAL 1.5 (28`X40`) 70x100 Cm PAQx10,in stock,new,4400 COP,https://estrategias-ltda.com/p-40380-bolsa-basura-amarilla-cal-1.5-(28x40)-70x100-cm-paqx10,https://estrategia-web.s3.amazonaws.com/products/40380/31e0SkpsIgL.jpg-2021-01-05-14:58:16.jpeg,Genérica
40381,BOLSA BASURA VERDE CAL 1.0 (16`X17`) 40x45 Cm BD PAQx10,BOLSA BASURA VERDE CAL 1.0 (16`X17`) 40x45 Cm BD PAQx10,out of stock,new,750 COP,https://estrategias-ltda.com/p-40381-bolsa-basura-verde-cal-1.0-(16x17)-40x45-cm-bd-paqx10,https://estrategia-web.s3.amazonaws.com/products/40381/bolsa-plastico-verde-55x55x10-unid-c-16.jpg-2021-01-05-14:59:23.jpeg,Genérica
